time,raw,threshold,reached,profile,capacity,current_ma,status
09:18:57,80,80,0,2,87,2482,Charging
09:18:58,80,80,0,2,87,2482,Charging
09:18:58,80,80,0,2,87,2482,Charging
09:18:59,80,80,0,2,87,2482,Charging
09:18:59,80,80,0,2,87,2482,Charging
09:19:00,80,80,0,2,87,2482,Charging
09:19:00,80,80,0,2,87,2482,Charging
09:19:01,80,80,0,2,87,2482,Charging
09:19:01,80,80,0,2,87,2482,Charging
09:19:02,80,80,0,2,87,2482,Charging
09:19:02,80,80,0,2,87,2482,Charging
09:19:03,80,80,0,2,87,2482,Charging
09:19:03,80,80,0,2,88,2482,Charging
09:19:04,80,80,0,2,88,2482,Charging
09:19:04,80,80,0,2,88,2448,Charging
09:19:05,80,80,0,2,88,2448,Charging
09:19:05,80,80,0,2,88,2448,Charging
09:19:06,80,80,0,2,88,2448,Charging
09:19:06,80,80,0,2,88,2448,Charging
09:19:07,80,80,0,2,88,2448,Charging
09:19:07,80,80,0,2,88,2448,Charging
09:19:08,80,80,0,2,88,2448,Charging
09:19:08,80,80,0,2,88,2448,Charging
09:19:09,80,80,0,2,88,2448,Charging
09:19:09,80,80,0,2,88,2448,Charging
09:19:10,80,80,0,2,88,2448,Charging
09:19:10,80,80,0,2,88,2448,Charging
09:19:11,80,80,0,2,88,2448,Charging
09:19:11,80,80,0,2,88,2448,Charging
09:19:12,80,80,0,2,88,2448,Charging
09:19:12,80,80,0,2,88,2448,Charging
09:19:13,80,80,0,2,88,2448,Charging
09:19:13,80,80,0,2,88,2448,Charging
09:19:14,80,80,0,2,88,2448,Charging
09:19:14,80,80,0,2,88,2448,Charging
09:19:15,80,80,0,2,88,2448,Charging
09:19:15,80,80,0,2,88,2448,Charging
09:19:16,80,80,0,2,88,2448,Charging
09:19:16,80,80,0,2,88,2448,Charging
09:19:17,80,80,0,2,88,2448,Charging
09:19:17,80,80,0,2,88,2448,Charging
09:19:18,80,80,0,2,88,2448,Charging
09:19:18,80,80,0,2,88,2414,Charging
09:19:19,80,80,0,2,88,2414,Charging
09:19:19,80,80,0,2,88,2414,Charging
09:19:20,80,80,0,2,88,2414,Charging
09:19:20,80,80,0,2,88,2414,Charging
09:19:21,80,80,0,2,88,2414,Charging
09:19:21,80,80,0,2,88,2414,Charging
09:19:22,80,80,0,2,88,2414,Charging
09:19:22,80,80,0,2,88,2414,Charging
09:19:23,80,80,0,2,88,2414,Charging
09:19:23,80,80,0,2,88,2414,Charging
09:19:24,80,80,0,2,88,2414,Charging
09:19:24,80,80,0,2,88,2414,Charging
09:19:25,80,80,0,2,88,2414,Charging
09:19:25,80,80,0,2,88,2414,Charging
09:19:26,80,80,0,2,88,2414,Charging
09:19:26,80,80,0,2,88,2414,Charging
09:19:27,80,80,0,2,88,2414,Charging
09:19:27,80,80,0,2,88,2414,Charging
09:19:28,80,80,0,2,88,2414,Charging
09:19:28,80,80,0,2,88,2414,Charging
09:19:29,80,80,0,2,88,2414,Charging
09:19:29,80,80,0,2,88,2414,Charging
09:19:30,80,80,0,2,88,2414,Charging
09:19:30,80,80,0,2,88,2414,Charging
09:19:31,80,80,0,2,88,2414,Charging
09:19:31,80,80,0,2,88,2414,Charging
09:19:32,90,90,0,2,88,2414,Charging
09:19:32,90,90,0,2,88,2414,Charging
09:19:33,90,90,0,2,88,2414,Charging
09:19:33,90,90,0,2,88,2414,Charging
09:19:34,90,90,0,2,88,2414,Charging
09:19:34,90,90,0,2,88,2414,Charging
09:19:35,90,90,0,2,88,2414,Charging
09:19:35,90,90,0,2,88,2414,Charging
09:19:36,90,90,0,2,88,2414,Charging
09:19:36,90,90,0,2,88,2414,Charging
09:19:37,90,90,0,2,88,2414,Charging
09:19:37,90,90,0,2,88,2380,Charging
09:19:38,90,90,0,2,88,2380,Charging
09:19:38,90,90,0,2,88,2380,Charging
09:19:39,90,90,0,2,88,2380,Charging
09:19:39,90,90,0,2,88,2380,Charging
09:19:40,90,90,0,2,88,2380,Charging
09:19:40,90,90,0,2,88,2380,Charging
09:19:41,90,90,0,2,88,2380,Charging
09:19:41,90,90,0,2,88,2380,Charging
09:19:42,90,90,0,2,88,2380,Charging
09:19:42,90,90,0,2,88,2380,Charging
09:19:43,90,90,0,2,88,2380,Charging
09:19:43,90,90,0,2,88,2380,Charging
09:19:44,90,90,0,2,88,2380,Charging
09:19:44,90,90,0,2,88,2380,Charging
09:19:45,90,90,0,2,88,2380,Charging
09:19:45,90,90,0,2,88,2380,Charging
09:19:46,90,90,0,2,88,2380,Charging
09:19:46,90,90,0,2,88,2380,Charging
09:19:47,90,90,0,2,88,2380,Charging
09:19:47,90,90,0,2,88,2380,Charging
09:19:48,90,90,0,2,88,2380,Charging
09:19:48,90,90,0,2,88,2380,Charging
09:19:49,90,90,0,2,88,2380,Charging
09:19:49,90,90,0,2,88,2346,Charging
09:19:50,90,90,0,2,88,2346,Charging
09:19:50,90,90,0,2,88,2346,Charging
09:19:51,90,90,0,2,88,2346,Charging
09:19:51,90,90,0,2,88,2346,Charging
09:19:52,90,90,0,2,88,2346,Charging
09:19:52,90,90,0,2,88,2346,Charging
09:19:53,90,90,0,2,88,2346,Charging
09:19:53,90,90,0,2,88,2346,Charging
09:19:54,90,90,0,2,88,2346,Charging
09:19:54,90,90,0,2,88,2346,Charging
